transaction_id,transaction_date,workshop_id,customer_id,vehicle_id,technician_id,service_type_id,labour_hours,labour_cost,parts_cost,total_cost,payment_method,status,modified_date
TX0015,2025-02-02,WS003,C011,V011,T005,ST003,4.0,340.00,465.00,805.00,Credit Card,Completed,2025-02-04
TX0031,2025-02-04,WS001,C013,V013,T001,ST002,2.5,212.50,170.00,382.50,EFTPOS,Completed,2025-02-04
TX0032,2025-02-04,WS001,C005,V005,T002,ST001,0.5,37.50,0.00,37.50,Cash,Completed,2025-02-04
TX0033,2025-02-04,WS002,C002,V002,T003,ST005,2.0,170.00,540.00,710.00,Credit Card,Completed,2025-02-04
TX0034,2025-02-04,WS002,C010,V010,T004,ST006,0.75,45.00,85.00,130.00,EFTPOS,Completed,2025-02-04
TX0035,2025-02-04,WS003,C003,V003,T005,ST004,1.5,127.50,0.00,127.50,Credit Card,Completed,2025-02-04
TX0036,2025-02-04,WS003,C015,V015,T006,ST002,2.0,130.00,165.00,295.00,Cash,Completed,2025-02-04
TX0037,2025-02-04,WS004,C012,V012,T007,ST003,3.5,297.50,380.00,677.50,Credit Card,Completed,2025-02-04
TX0038,2025-02-04,WS004,C008,V008,T008,ST006,0.75,48.75,85.00,133.75,EFTPOS,Completed,2025-02-04
TX0039,2025-02-04,WS001,C021,V021,T002,ST001,0.5,37.50,0.00,37.50,Cash,Completed,2025-02-04
TX0040,2025-02-02,WS001,C001,V001,T001,ST004,1.0,85.00,0.00,85.00,EFTPOS,Completed,2025-02-04
